data,dia,semana,foco,tag,secundario,questoes,acertos,feito
2026-08-31,seg,5,"Redes: modelo OSI, camadas, encapsulamento",redes,Portugues: concordancia verbal e nominal,0,0,0
2026-09-01,ter,5,"Redes: TCP/IP, HTTP, DNS, SMTP, FTP, SSH",redes,Ingles: vocabulario tecnico em contexto,0,0,0
2026-09-02,qua,5,"Protocolos seguros: HTTPS, SSL/TLS, handshake, certificados",redes,RLM: matrizes e problemas matriciais,0,0,0
2026-09-03,qui,5,"Seguranca: criptografia simetrica/assimetrica, hash, assinatura",seguranca,Legislacao: Delitos Informaticos (12.737),0,0,0
2026-09-04,sex,5,"Seguranca de redes: firewall, VPN, seguranca na internet",seguranca,Atualidades: vies socioambiental,0,0,0
2026-09-05,sab,5,Revisao + refazer erradas de Java,revisao,Caderno de erros,0,0,0
2026-09-06,dom,5,SIMULADO 5,simulado,Correcao comentada,0,0,0
2026-09-07,seg,6,"Seguranca: politicas, CID, ISO 27001:2022",seguranca,Portugues: regencia verbal e nominal,0,0,0
2026-09-08,ter,6,"Seguranca: ISO 27002:2022, gestao de riscos",seguranca,Ingles: voz passiva e modais,0,0,0
2026-09-09,qua,6,"Seguranca: controle de acesso, OAuth2, SSO",seguranca,RLM: geometria plana,0,0,0
2026-09-10,qui,6,"Seguranca: OWASP Top 10 (2025 e 2021), SDL, SAST, DAST",seguranca,Legislacao: revisita LGPD + ANPD agencia,0,0,0
2026-09-11,sex,6,"Eng. Software: revisita testes + DevOps, DevSecOps, Git",eng-software,Atualidades: tipos de aprendizado e metricas,0,0,0
2026-09-12,sab,6,Revisao + caderno de erros,revisao,Caderno de erros,0,0,0
2026-09-13,dom,6,SIMULADO 6,simulado,Correcao comentada,0,0,0
2026-09-14,seg,7,"BI: conceitos, arquitetura, sistemas de suporte a decisao",bi,"Portugues: coesao, coerencia e conectivos",0,0,0
2026-09-15,ter,7,"BI: data warehouse, modelagem dimensional, star e snowflake",bi,Ingles: inferencia e ideia principal,0,0,0
2026-09-16,qua,7,"BI: ETL e ELT, OLAP e operacoes, cubos",bi,RLM: probabilidade,0,0,0
2026-09-17,qui,7,"BI: data mining, data lake, big data, CRISP-DM",bi,Legislacao: revisita Marco Civil e LAI,0,0,0
2026-09-18,sex,7,BD: revisita completa (eixo duplo),banco-dados,Atualidades: intersecao IA e ESG,0,0,0
2026-09-19,sab,7,Revisao + refazer erradas de Seguranca,revisao,Caderno de erros,0,0,0
2026-09-20,dom,7,SIMULADO 7,simulado,Correcao comentada,0,0,0
2026-09-21,seg,8,"Frontend: HTML, CSS, box model, Flexbox/Grid, Ajax",frontend,Portugues: semantica e ambiguidade,0,0,0
2026-09-22,ter,8,"Frontend: React, Angular, Vue, SPA e PWA",frontend,Ingles: false friends e phrasal verbs,0,0,0
2026-09-23,qua,8,"Mobile: Android e iOS, low-code e no-code",frontend,RLM: revisita aritmetica e algebra,0,0,0
2026-09-24,qui,8,"UX: acessibilidade (WCAG), usabilidade, arq. da informacao, CMS",frontend,Legislacao: revisao geral,0,0,0
2026-09-25,sex,8,Eng. Software: revisita requisitos e metodologias ageis,eng-software,Atualidades,0,0,0
2026-09-26,sab,8,Revisao + caderno de erros,revisao,Caderno de erros,0,0,0
2026-09-27,dom,8,SIMULADO 8,simulado,Correcao comentada,0,0,0
2026-09-28,seg,9,"Governanca: PMBOK (6a e 7a ed.), tradicional, hibrido e agil",governanca,Portugues: ortografia e acentuacao,0,0,0
2026-09-29,ter,9,"Governanca: ITIL 4 - SVS, cadeia de valor, principios, praticas",governanca,Ingles: referencia pronominal e coesao,0,0,0
2026-09-30,qua,9,"Governanca: COBIT 2019, gestao de riscos",governanca,RLM: simulado so de RLM,0,0,0
2026-10-01,qui,9,"BPMN + Metricas: Ponto de Funcao, Story Points",governanca,Legislacao: revisao geral,0,0,0
2026-10-02,sex,9,"Arquitetura: revisita (nuvem, containers, transacoes distribuidas)",arquitetura,Atualidades,0,0,0
2026-10-03,sab,9,Revisao + refazer erradas de Java e Redes,revisao,Caderno de erros,0,0,0
2026-10-04,dom,9,SIMULADO 9,simulado,Correcao comentada,0,0,0
2026-10-05,seg,10,"Orfaos: blockchain, transacoes distribuidas, RPA",orfaos,Portugues: revisao interpretacao e sintaxe,0,0,0
2026-10-06,ter,10,"Orfaos: arq. de computadores, sistemas de informacao (SPT/SIG/SAD/ERP)",orfaos,Ingles: revisao leitura tecnica,0,0,0
2026-10-07,qua,10,"Orfaos: ambientes, servidores web x app, reuso/UDDI, IA/ML aplicado",orfaos,RLM: logica proposicional e sequencias,0,0,0
2026-10-08,qui,10,Revisao dos topicos com pior taxa de acerto + varredura rapida do edital,revisao,Caderno de erros,0,0,0
2026-10-09,sex,10,SIMULADO 10 - o ultimo simulado completo,simulado,Correcao comentada,0,0,0
2026-10-10,sab,10,Correcao do simulado + caderno de erros integral + lives de revisao. PARAR conteudo novo,revisao,Checklist do dia da prova,0,0,0
2026-10-11,dom,10,*** PROVA - 13h as 17h. PORTOES FECHAM 12h30 ***,prova,Boa sorte,0,0,0
